Date,Return_Squared,Return,Range,Volume,VIX,Daily Volatility,target
2005-01-03,1.036996043687499e-06,0.00101833002690066,0.010299999999999976,1066716000.0,14.079999923706055,0.01251696928901369,1
2005-01-04,0.002350782353784595,-0.04848486726582424,0.013999999999999985,790224000.0,13.979999542236328,0.011489225472202555,0
2005-01-05,9.157439275050551e-05,0.009569451016150587,0.007000000000000006,724812000.0,14.09000015258789,0.013423541012887326,1
2005-01-06,9.157439275050551e-05,-0.009569451016150587,0.008800000000000002,563568000.0,13.579999923706055,0.007802989445733851,0
2005-01-07,0.00037706205835376865,-0.019418085857101586,0.008200000000000013,763092000.0,13.489999771118164,0.01212339701536062,1
2005-01-10,4.7361921252124365e-06,0.002176279422595462,0.002899999999999986,579552000.0,13.229999542236328,0.002637885713479719,0
2005-01-11,0.0009902496717719457,-0.03146823273989097,0.007599999999999996,1093380000.0,13.1899995803833,0.010576287272508878,1
2005-01-12,7.137503448953215e-05,-0.008448374665551484,0.008100000000000024,1057800000.0,12.5600004196167,0.014512931683401335,1
2005-01-13,0.00011426053507416208,0.01068927196183922,0.009999999999999981,898764000.0,12.84000015258789,0.00907905257529707,0
2005-01-14,7.806873968144182e-06,0.0027940783754476506,0.0049000000000000155,573912000.0,12.430000305175781,0.006831337370597564,0
2005-01-18,0.0002577144189402424,0.01605348619273217,0.005699999999999983,464556000.0,12.470000267028809,0.004975341432806563,0
2005-01-19,0.000544493852892525,-0.02333439206177279,0.006099999999999994,336492000.0,13.180000305175781,0.007515123725086159,1
2005-01-20,5.044202451167531e-06,0.002245930197305235,0.00839999999999999,640080000.0,13.829999923706055,0.009670838559151209,1
2005-01-21,5.0216206925096856e-06,0.002240897296287736,0.004200000000000009,596352000.0,14.359999656677246,0.006413591619494526,0
2005-01-24,0.0016912784197838347,-0.04112515555938767,0.009699999999999986,463704000.0,14.649999618530273,0.007916461538212414,1
2005-01-25,0.00030072675644110476,0.017341475036487086,0.005700000000000011,439704000.0,14.0600004196167,0.005885297641176715,0
2005-01-26,0.0001569667621961175,0.012528637683168808,0.007000000000000006,429120000.0,13.4399995803833,0.007339104242625308,1
2005-01-27,0.00597472594068775,0.07729635140605118,0.01570000000000002,1002912000.0,13.239999771118164,0.014683297579622187,1
2005-01-28,1.0987612382669936e-06,-0.001048218125328404,0.005899999999999989,671052000.0,13.239999771118164,0.00518844727360851,0
2005-01-31,2.4709181513167147e-06,0.0015719154402564772,0.0063,562968000.0,12.819999694824219,0.00742728087504446,1
2005-02-01,0.00034867128279190794,0.018672741705274776,0.005699999999999983,507180000.0,12.029999732971191,0.018473869905949576,1
2005-02-02,0.002917417968533356,0.05401312774255307,0.010499999999999982,2035404000.0,11.65999984741211,0.008333716372142504,0
2005-02-03,0.0001159623537707425,-0.010768581790131071,0.004299999999999998,690120000.0,11.789999961853027,0.005457329214033825,0
2005-02-04,0.00313399417058522,0.05598208794413817,0.012300000000000005,806448000.0,11.210000038146973,0.00767225067899271,1
2005-02-07,0.00014816817235038278,-0.012172434939254462,0.008800000000000002,521628000.0,11.729999542236328,0.007438985096899091,0
2005-02-08,9.688583975933685e-05,0.009843060487436661,0.007500000000000007,455772000.0,11.600000381469727,0.005857113541303737,0
2005-02-09,0.001267918586029982,-0.03560784444514975,0.009899999999999992,783756000.0,12.0,0.008900424067289147,1
2005-02-10,0.0005259955739335385,0.022934593389322133,0.005599999999999994,602376000.0,11.510000228881836,0.007208835120048122,0
2005-02-11,0.00083324963986884,0.02886606380975487,0.009800000000000003,556512000.0,11.430000305175781,0.007720945575251653,1
2005-02-14,0.00045525120252739817,-0.021336616473269565,0.006200000000000011,432900000.0,11.520000457763672,0.004533780442256448,0
2005-02-15,7.864502108504971e-05,0.008868202810324632,0.007699999999999985,748500000.0,11.270000457763672,0.011347951012781327,1
2005-02-16,1.061514992392404e-05,-0.003258089919557783,0.007000000000000006,466464000.0,11.100000381469727,0.0064010386792814735,0
2005-02-17,7.916145723145812e-05,-0.00889727246022387,0.006599999999999995,1017408000.0,11.770000457763672,0.02920865347016859,1
2005-02-18,0.010552011825962744,0.10272298586958395,0.013200000000000017,3132120000.0,11.180000305175781,0.015477747834108829,0
2005-02-22,0.0001600998738761883,0.012653057886384156,0.012200000000000016,1420800000.0,13.140000343322754,0.0073345062305681785,0
2005-02-23,0.0011046965091362903,-0.03323697502987133,0.010699999999999987,1107840000.0,12.390000343322754,0.01298837797625288,1
2005-02-24,0.0006805094750970443,0.02608657653079538,0.00949999999999998,695496000.0,11.569999694824219,0.006259753053400933,0
2005-02-25,0.00020306339996497557,0.014250031577683453,0.006900000000000017,525132000.0,11.489999771118164,0.0070054933752902145,1
2005-02-28,2.9109513708308316e-05,0.005395323318236667,0.004599999999999993,758064000.0,12.079999923706055,0.005595522163792331,0
2005-03-01,6.182844221695538e-06,-0.0024865325700049734,0.008099999999999996,737148000.0,12.039999961853027,0.0054239622988035705,0
2005-03-02,0.000894204952678154,-0.029903259900521784,0.007199999999999984,947460000.0,12.5,0.008569319673158377,1
